time step, layer, countries that become infected 
0,0,China  P.R.: Mainland
1,0,China  P.R.: Hong Kong
1,0,South Africa
1,0,Taiwan Province of China
2,0,Angola
2,0,Belize
2,0,Brunei Darussalam
2,0,Cambodia
2,0,China  P.R.: Macao
2,0,Korea  Republic of
2,0,Lesotho
2,0,Malawi
2,0,Maldives
2,0,Mongolia
2,0,Mozambique
2,0,Namibia
2,0,Philippines
2,0,Samoa
2,0,Seychelles
2,0,Singapore
2,0,St. Vincent and the Grenadines
2,0,Swaziland
2,0,Thailand
2,0,Vanuatu
2,0,Vietnam
2,0,Zimbabwe
3,0,British Indian Ocean Territory
3,0,India
3,0,Korea  Democratic People's Rep. of
3,0,Liberia
3,0,Malaysia
3,0,Myanmar
3,0,Uzbekistan
4,0,Central African Republic
4,0,Congo  Democratic Republic of
4,0,Ghana
4,0,Indonesia
4,0,Mauritius
4,0,Nepal
4,0,Niger
4,0,Oman
4,0,Sri Lanka
4,0,Tanzania
5,0,Iran  Islamic Republic of
5,0,Zambia
