time step, layer, countries that become infected 
0,0,China  P.R.: Hong Kong
0,1,China  P.R.: Hong Kong
0,2,China  P.R.: Hong Kong
0,3,China  P.R.: Hong Kong
0,4,China  P.R.: Hong Kong
0,0,China  P.R.: Mainland
0,1,China  P.R.: Mainland
0,2,China  P.R.: Mainland
0,3,China  P.R.: Mainland
0,4,China  P.R.: Mainland
1,0,China  P.R.: Macao
1,0,Liberia
1,0,Mongolia
1,0,Taiwan Province of China
1,1,China  P.R.: Macao
1,1,Liberia
1,1,Samoa
1,2,China  P.R.: Macao
1,2,Mongolia
1,3,China  P.R.: Macao
1,4,China  P.R.: Macao
1,4,Maldives
1,4,Mongolia
1,4,Nepal
2,4,Thailand
3,4,Belize
3,4,Brunei Darussalam
3,4,Seychelles
3,4,Vanuatu
4,0,Anguilla
4,0,British Indian Ocean Territory
4,0,Cambodia
4,0,Fiji
4,0,Guinea
4,0,Indonesia
4,0,Lao People's Democratic Republic
4,0,Monaco
4,0,Myanmar
4,0,Virgin Islands  British
4,1,Cambodia
4,1,Lao People's Democratic Republic
4,2,Guinea
4,2,Lao People's Democratic Republic
4,2,Myanmar
4,3,Lao People's Democratic Republic
4,3,Myanmar
5,0,Philippines
5,0,Singapore
5,0,Vietnam
6,0,Korea  Republic of
6,0,Malaysia
6,1,Jordan
6,1,Timor-Leste  Dem. Rep. of
7,0,Afghanistan  Islamic Republic of
7,0,Cameroon
7,0,Dominica
7,0,Iraq
7,0,Korea  Democratic People's Rep. of
7,0,Papua New Guinea
7,0,Sudan
7,0,Yemen  Republic of
8,1,Bangladesh
8,2,Central African Republic
8,2,Niger
8,2,Sierra Leone
8,2,Solomon Islands
8,2,West Bank and Gaza
8,3,St. Vincent and the Grenadines
8,3,West Bank and Gaza
8,4,Uzbekistan
10,0,Sri Lanka
